title t,cast_info ci#t.id=ci.movie_id#t.kind_id,>,1#25847549
title t,movie_info mi#t.id=mi.movie_id#mi.info_type_id,>,98#543367
title t,movie_info mi#t.id=mi.movie_id#t.production_year,<,1999#7212844
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,=,7,t.production_year,=,1992,ci.person_id,>,2415257,ci.role_id,<,3#13672
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,=,1,t.production_year,=,1993,mi.info_type_id,>,3#56991
title t,movie_info mi#t.id=mi.movie_id#t.production_year,=,1913,mi.info_type_id,=,7#39491
title t,movie_info mi#t.id=mi.movie_id#mi.info_type_id,<,5#4923966
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,<,7,t.production_year,<,2009,ci.person_id,<,1384789,ci.role_id,>,1#1189905
title t,movie_info mi#t.id=mi.movie_id#t.production_year,=,2008#633134
title t,cast_info ci#t.id=ci.movie_id##36244344
title t,movie_info mi#t.id=mi.movie_id#t.production_year,<,2002#8116633
title t,movie_info mi#t.id=mi.movie_id#t.production_year,>,2002#6306652
title t,movie_info mi#t.id=mi.movie_id#t.production_year,>,2010#1726523
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,<,7#10872384
title t,movie_info mi#t.id=mi.movie_id#mi.info_type_id,<,2#802140
title t,cast_info ci#t.id=ci.movie_id#t.production_year,<,1993,ci.person_id,<,1128988,ci.role_id,>,10#12889
title t,movie_info mi#t.id=mi.movie_id##14835720
title t,movie_info mi#t.id=mi.movie_id#t.production_year,<,2002,mi.info_type_id,<,16#5609385
title t,cast_info ci#t.id=ci.movie_id#ci.person_id,=,518069,ci.role_id,=,1#100
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,<,7,t.production_year,>,2003#6385946
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,>,2,mi.info_type_id,>,3#4566302
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,=,1,t.production_year,=,2012#405218
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,=,1,ci.role_id,>,1#6584840
title t,movie_info mi#t.id=mi.movie_id#t.production_year,<,2012,mi.info_type_id,=,1#738107
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,>,1,t.production_year,<,2004#3626990
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,<,4,t.production_year,<,2012#9155603
title t,movie_info mi#t.id=mi.movie_id#t.production_year,>,2006,mi.info_type_id,<,16#2571838
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,=,7#21419885
title t,movie_info mi#t.id=mi.movie_id#mi.info_type_id,>,16#2233850
title t,cast_info ci#t.id=ci.movie_id#t.production_year,<,2004#17293665
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,<,7,t.production_year,=,1995,mi.info_type_id,>,1#125303
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,=,1#8301049
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,=,7,t.production_year,<,2008#12808953
title t,movie_info mi#t.id=mi.movie_id#t.production_year,=,1998,mi.info_type_id,=,7#9968
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,<,7,t.production_year,=,1950,ci.person_id,>,2550841#11088
title t,cast_info ci#t.id=ci.movie_id#ci.role_id,<,3#20122661
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,<,7,t.production_year,<,1972,ci.person_id,>,1463411#1459699
title t,cast_info ci#t.id=ci.movie_id#ci.person_id,=,318300,ci.role_id,<,9#3194
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,<,7,ci.role_id,>,10#141265
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,=,7,t.production_year,<,2002#2055671
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,>,1,ci.person_id,=,679131,ci.role_id,<,2#1
title t,movie_info mi#t.id=mi.movie_id#t.production_year,=,1995#199783
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,>,1,t.production_year,=,1961,ci.role_id,>,8#5400
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,=,7,mi.info_type_id,<,8#1388733
title t,movie_info mi#t.id=mi.movie_id#t.production_year,=,1988#127917
title t,movie_info mi#t.id=mi.movie_id#t.production_year,>,1959#12196589
title t,movie_info mi#t.id=mi.movie_id#mi.info_type_id,>,2#12744652
title t,cast_info ci#t.id=ci.movie_id#t.kind_id,=,3,t.production_year,>,1950,ci.person_id,<,1100407#629955
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,>,1,t.production_year,>,1936,mi.info_type_id,=,98#157480
title t,cast_info ci#t.id=ci.movie_id#ci.role_id,>,1#23573656
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,>,1#6534671
title t,cast_info ci#t.id=ci.movie_id#t.production_year,=,2010,ci.role_id,>,8#448163
title t,movie_info mi#t.id=mi.movie_id#t.kind_id,<,7,t.production_year,<,2008#8130874
